Date,Open,High,Low,Close,Adj Close,Volume
2020-10-01,0.101202,0.104311,0.096007,0.097878,0.097878,499813017
2020-10-02,0.097894,0.099826,0.090471,0.092913,0.092913,602540074
2020-10-03,0.092913,0.095158,0.092635,0.093684,0.093684,334059453
2020-10-04,0.093684,0.096791,0.092884,0.096301,0.096301,482409858
2020-10-05,0.096301,0.098844,0.096255,0.097687,0.097687,432817916
2020-10-06,0.097634,0.098548,0.092168,0.092909,0.092909,783688998
2020-10-07,0.092909,0.094394,0.090105,0.093936,0.093936,420412930
2020-10-08,0.093944,0.096776,0.090903,0.096242,0.096242,457557891
2020-10-09,null,null,null,null,null,null
2020-10-10,0.101466,0.110540,0.101445,0.105025,0.105025,923715999
2020-10-11,0.104902,0.108865,0.104381,0.106538,0.106538,797480086
2020-10-12,null,null,null,null,null,null
2020-10-13,null,null,null,null,null,null
2020-10-14,0.109298,0.112231,0.105712,0.107297,0.107297,713264193
2020-10-15,0.107217,0.107591,0.104979,0.106635,0.106635,562197282
2020-10-16,0.106748,0.107317,0.102537,0.104064,0.104064,553561875
2020-10-17,0.104218,0.106979,0.103366,0.106104,0.106104,472005227
2020-10-18,0.106044,0.107601,0.105305,0.107388,0.107388,432851135
2020-10-19,0.107416,0.110921,0.106188,0.108677,0.108677,490775170
2020-10-20,0.108614,0.108841,0.101226,0.102494,0.102494,707955236
2020-10-21,0.102519,0.108286,0.101831,0.106187,0.106187,779410099
2020-10-22,0.106056,0.112414,0.105482,0.110572,0.110572,933335641
2020-10-23,0.110698,0.111754,0.105602,0.108083,0.108083,1110973427
2020-10-24,0.108083,0.109662,0.107539,0.108075,0.108075,868194497
2020-10-25,0.108075,0.108730,0.106178,0.106351,0.106351,722743351
2020-10-26,0.106351,0.107381,0.099430,0.103097,0.103097,880221833
2020-10-27,0.103097,0.105490,0.102070,0.102827,0.102827,913522302
2020-10-28,0.102827,0.103349,0.095570,0.098977,0.098977,876721856
2020-10-29,0.098977,0.100712,0.095000,0.095376,0.095376,883054980
2020-10-30,0.095376,0.095587,0.090363,0.093369,0.093369,855782606
2020-10-31,0.093369,0.095270,0.092208,0.093056,0.093056,662592019
2020-11-01,0.093056,0.098487,0.092853,0.098197,0.098197,609565849
2020-11-02,0.098197,0.099935,0.091766,0.092143,0.092143,817756720
