,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,Unnamed: 14,text
25,en,"New York, USA",,,,TonyGainzzz,Sun Dec 31 18:54:30 +0000 2017,0,0,0,False,0,False,,liked @ youtube video https : //t.co/wqc78sckrk verge vs ripple vs cardano vs tron ! best altcoins ?
26,en,"New Jersey, USA",United States,US,"[[[-75.563587, 38.788657], [-75.563587, 41.357424], [-73.88506, 41.357424], [-73.88506, 38.788657]]]",JohnCoviello1,Sun Dec 31 18:20:38 +0000 2017,0,0,0,False,0,False,,"vote favorite # cryptocurrency 2018 surpass # bitcoin , vote : https : //t.co/y24accdz7f # ripple # xrp # 2 ! # litecoin # bitcoincash # bitcoingold # cryptocurrencies # ethereum # eth # cardano # # bch # ltc # btc # digitalcurrency # iota # dash # money # miota # xem"
27,en,USA,,,,CryptoCandor,Sun Dec 31 18:16:11 +0000 2017,0,2,1,False,0,False,,"genius enlightened , thank . lol # # cardano $ 👏🏼 https : //t.co/lerx18tujm"
28,en,"Pensacola, FL",,,,CryptoCredo,Sun Dec 31 18:09:03 +0000 2017,0,0,0,False,0,False,,# cardano mooning ? #
29,en,"Newport Beach, CA",,,,RyanNegri,Sun Dec 31 18:03:43 +0000 2017,6,33,34,False,0,False,,missed bitcoin missed ethereum missed litecoin missed dash missed cardano missed ripple missed stellar missed tron missed omg almost missed verge ’ miss $ kin $ .0004 usd . [ else worth look ? ]
30,en,Outer Space,,,,young_investor9,Sun Dec 31 17:29:08 +0000 2017,0,1,0,False,0,False,,"’ looking wise investment 2018 , please consider cardano # team leading coin truly incredible , ’ extremely bullish # cardano #"
31,en,"Ball, La",,,,bishopjwhite,Sun Dec 31 17:13:37 +0000 2017,0,0,0,False,0,False,,liked @ youtube video https : //t.co/fb7jvg8bdd live : charles hoskinson cardano !
32,en,"El Paso, TX",,,,dralexjimenez,Sun Dec 31 17:06:34 +0000 2017,0,0,0,False,0,False,,liked @ youtube video https : //t.co/xofrhpt0ie buy cardano ( ) binance ( easy ) !
33,en,Cryptocredits Wallet,,,,Cryptocredit,Sun Dec 31 17:01:35 +0000 2017,0,0,0,False,0,False,,cardano ( ) increased 13.68 % 24 hours # bitcoin # btc # eth # ltc # bch https : //t.co/wi8yw4wdsg
34,en,Cryptocredits Wallet,,,,Cryptocredit,Sun Dec 31 16:58:52 +0000 2017,0,0,0,False,0,False,,cardano ( ) top predictions 2018 # bitcoin # btc # eth # ltc # bch https : //t.co/es7qehhpwm
35,en,"Bend, Oregon",,,,DesertButtercup,Sun Dec 31 16:41:33 +0000 2017,0,0,0,False,0,True,,good article read order understand cardano . https : //t.co/ympmls0xue
36,en,Corona ca.,,,,JaimeMorales_77,Sun Dec 31 16:31:20 +0000 2017,0,0,0,False,0,False,,# cardano decentralised public blockchain cryptocurrency project fully open… https : //t.co/ivc2coawzf
37,en,United States,,,,Cryptowynn76791,Sun Dec 31 16:03:59 +0000 2017,0,0,0,False,0,False,,xrp little bit morning . cardano 38 % . looking buying for… https : //t.co/dfr8tpkpft
38,en,,,,,gotgark,Sun Dec 31 14:48:55 +0000 2017,0,0,0,False,0,False,,boat port ? # cardano # crypto # altcoin #
39,en,"Houston, TX",,,,Techken2,Sun Dec 31 14:46:31 +0000 2017,0,0,0,False,0,False,,cardano : ethereum & amp ; neo killer over-price + valued ? https : //t.co/uleob5v3qp via @ youtube
40,en,NYC,,,,iamtheroar,Sun Dec 31 14:11:24 +0000 2017,0,0,0,False,0,False,,# wow need cardano_ada verge_currency position . # altcoin # 2018 @ new york… https : //t.co/of1s8pwfee
41,en,"New Jersey, USA",United States,US,"[[[-75.563587, 38.788657], [-75.563587, 41.357424], [-73.88506, 41.357424], [-73.88506, 38.788657]]]",JohnCoviello1,Sun Dec 31 14:00:37 +0000 2017,0,0,1,False,0,False,,"vote favorite # cryptocurrency 2018 surpass # bitcoin , vote : https : //t.co/y24accdz7f … # ripple # xrp # 2 ! # litecoin # bitcoincash # bitcoingold # cryptocurrencies # ethereum # eth # cardano # # bch # ltc # btc # digitalcurrency # iota # dash # money # miota # xem"
42,en,"San Francisco, CA",,,,GetCoinAlerts,Sun Dec 31 13:52:51 +0000 2017,0,0,2,False,0,False,,cardano $ new time high ! last price : $ 0.72 usd
43,en,Louisiana,,,,johnnyarnaud1,Sun Dec 31 13:44:52 +0000 2017,0,0,0,False,0,False,,liked @ youtube video https : //t.co/bndtliztvh cardano : ethereum & amp ; neo killer over-price + valued ? / mcafee loses crypto
44,en,Heartbeat CT,,,,iseebitcoins,Sun Dec 31 13:44:05 +0000 2017,0,0,0,False,0,False,,ripple cardano : surging coin buy ? https : //t.co/vk6imqbvcm via @ findercomau
45,en,Minneapolis,,,,YouBrandInc,Sun Dec 31 13:43:59 +0000 2017,0,0,0,False,0,False,,ripple cardano : surging coin buy ? - last 48 hours ripple cardano ... https : //t.co/rt7owgq03r
46,en,Minneapolis,,,,YouBrandInc,Sun Dec 31 13:43:52 +0000 2017,0,0,0,False,0,False,,ripple cardano : surging coin buy ? - https : //t.co/cscgla78gg
47,en,Earth,,,,ScottScanlon,Sun Dec 31 13:43:47 +0000 2017,0,0,0,False,0,False,,ripple cardano : surging coin buy ? - https : //t.co/0ip26ttsvx
48,en,"New Jersey, USA",United States,US,"[[[-75.563587, 38.788657], [-75.563587, 41.357424], [-73.88506, 41.357424], [-73.88506, 38.788657]]]",JohnCoviello1,Sun Dec 31 13:43:35 +0000 2017,0,0,0,False,0,False,,top cryptocurrencies alternatives bitcoin https : //t.co/6bqqr76d6j # ripple # xrp # 2 ! # litecoin # bitcoincash # bitcoingold # cryptocurrencies # ethereum # eth # cardano # # bch # ltc # btc # digitalcurrency # iota # dash # money # miota # xem # bitcoincrash
49,en,"San Francisco, CA",,,,GetCoinAlerts,Sun Dec 31 13:41:42 +0000 2017,0,0,1,False,0,False,,cardano $ new time high ! last price : $ 0.71 usd
50,en,dallas,,,,713trendsetter,Sun Dec 31 12:04:10 +0000 2017,0,0,0,False,0,False,,# cryptolovers # cardano debit card coming ! $ ada.x # cryptocurrency # https : //t.co/aukug0fwhs
51,en,"Boston, MA",,,,_cryptomuscle,Sun Dec 31 11:53:59 +0000 2017,0,0,0,False,0,False,,entire portfolio shambles least @ crypto_bobby got add # cardano . https : //t.co/y8yxamibik
52,en,"Boston, MA",,,,_cryptomuscle,Sun Dec 31 11:40:13 +0000 2017,0,0,0,False,0,False,,wake entire # crypto market casually 50 billion+ least bought # cardano . https : //t.co/qujqo3umnq
53,en,New York,,,,pamperfashion,Sun Dec 31 10:57:08 +0000 2017,0,0,0,False,0,False,,rentberry applies # blockchain technology property rental industry - launches initial # coin offer @ matrixthinker # crowdsale # blockchain # ico # cryptocurrency # bitcoin # ethereum # ripple # litecoin # cardano # verge # stellar # tron # status https : //t.co/6v9wvy9eit https : //t.co/venjqetloe
54,en,Cryptocredits Wallet,,,,Cryptocredit,Sun Dec 31 10:30:50 +0000 2017,0,0,0,False,0,False,,ripple cardano : surging coin buy ? # bitcoin # btc # eth # ltc # bch https : //t.co/oj0wx42okz
55,en,"Orange, Ca",,,,Gsnopel,Sun Dec 31 09:00:15 +0000 2017,0,0,0,False,0,False,,liked @ youtube video https : //t.co/c2omimkdkq stellar coin breaks top 10 ! ripple v. cardano prices & amp ; reviews continues ! !
56,en,"New York, USA",,,,BenKalashnikov,Sun Dec 31 08:51:14 +0000 2017,0,0,0,False,0,False,,cardano update ( 53 % profit potential ) https : //t.co/vmag3tajn7
