text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,
"Don’t have to be genius to recognize trade.  #cardano #ADA will be the trade into the new year #IMHO.  I’m not a professional, but it’s right here.",en,"Earth, Twitter and Hive",,,,runridefly,Sun Dec 31 19:40:28 +0000 2017,0,0,0,False,0,False,
"😡 #Banks We decide what to do with our hard earned cash. I WANT TO SPEND IT ON FAIRY DUST CRYPTO. #ChaseBank
#ADA #Litecoin #trx #cryptocurrency #blockchain #Bitcoin #BitcoinCash #xrp #Cardano #ripple #ethereum #Crypto #IOTA  #Dash #stellar #Monero #POE 
https://t.co/jPjOETEbiC",en,"New York, USA",,,,Numismatiques,Sun Dec 31 19:18:55 +0000 2017,1,1,1,False,0,False,
I liked a @YouTube video https://t.co/Wqc78SCkrK Verge vs Ripple vs Cardano vs Tron! Best ALTcoins?,en,"New York, USA",,,,TonyGainzzz,Sun Dec 31 18:54:30 +0000 2017,0,0,0,False,0,False,
"VOTE for your favorite #cryptocurrency in 2018 to surpass #Bitcoin, Vote at:  https://t.co/Y24acCDZ7f #Ripple #XRP is now #2! #Litecoin #BitcoinCash #BitcoinGold #cryptocurrencies #Ethereum #ETH #Cardano #ADA #BCH #LTC #BTC #digitalcurrency #IOTA #DASH #money #MIOTA #XEM",en,"New Jersey, USA",United States,US,"[[[-75.563587, 38.788657], [-75.563587, 41.357424], [-73.88506, 41.357424], [-73.88506, 38.788657]]]",JohnCoviello1,Sun Dec 31 18:20:38 +0000 2017,0,0,0,False,0,False,
"To the genius who just enlightened me to this, thank you. Lol #ada #cardano $ada 👏🏼 https://t.co/Lerx18TUjm",en,USA,,,,CryptoCandor,Sun Dec 31 18:16:11 +0000 2017,0,2,1,False,0,False,
#Cardano mooning? #ADA,en,"Pensacola, FL",,,,CryptoCredo,Sun Dec 31 18:09:03 +0000 2017,0,0,0,False,0,False,
"You missed Bitcoin
You missed Ethereum
You missed Litecoin
You missed Dash
You missed Cardano
You missed Ripple
You missed Stellar
You missed Tron
You missed OMG
You almost missed Verge

Don’t miss $KIN at $.0004 USD. 

[Who else is worth a look?]",en,"Newport Beach, CA",,,,RyanNegri,Sun Dec 31 18:03:43 +0000 2017,6,33,34,False,0,False,
"If you’re looking for a wise investment for 2018, please consider Cardano #ada the team leading this coin is truly incredible, I’m extremely bullish #cardano #ada",en,Outer Space,,,,young_investor9,Sun Dec 31 17:29:08 +0000 2017,0,1,0,False,0,False,
I liked a @YouTube video https://t.co/fb7jVG8bdD LIVE: AMA With Charles Hoskinson of Cardano!,en,"Ball, La",,,,bishopjwhite,Sun Dec 31 17:13:37 +0000 2017,0,0,0,False,0,False,
I liked a @YouTube video https://t.co/xoFRHpT0ie HOW TO BUY CARDANO(ADA) ON BINANCE (EASY)!,en,"El Paso, TX",,,,dralexjimenez,Sun Dec 31 17:06:34 +0000 2017,0,0,0,False,0,False,
