lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,Unnamed: 14
en,"Orange County, California",,,,LunarCRUSH,Thu Dec 31 04:50:28 +0000 2020,9,26,48,False,0,False,
en,,,,,trifecta3131,Thu Dec 31 04:47:40 +0000 2020,0,0,0,False,0,True,
en,"Hollywood, CA",,,,KingJimmyC,Thu Dec 31 04:46:25 +0000 2020,0,2,0,False,0,False,
en,Mcdermott Ohio,,,,HoymeBrandon,Thu Dec 31 04:44:33 +0000 2020,0,0,0,False,0,True,
en,"Michigan, USA",,,,camnazarko,Thu Dec 31 04:20:08 +0000 2020,0,0,1,False,0,False,
en,United States,,,,THEAnnette,Thu Dec 31 04:13:06 +0000 2020,0,2,2,False,0,False,
en,"Cincinnati, OH",,,,jasonappleton,Thu Dec 31 03:35:04 +0000 2020,51,98,228,False,0,False,
en,California,,,,CouchMeka,Thu Dec 31 03:14:41 +0000 2020,0,2,0,False,0,True,
en,California,,,,CouchMeka,Thu Dec 31 03:04:29 +0000 2020,0,0,0,False,0,True,
en,"Gainesville, Florida",,,,EricGamliel1,Thu Dec 31 01:52:26 +0000 2020,0,1,0,False,0,False,
en,United States,,,,frush22,Thu Dec 31 01:51:35 +0000 2020,0,0,0,False,0,False,
en,"Virginia, USA",,,,VoskCoin,Thu Dec 31 01:24:32 +0000 2020,0,1,0,False,0,False,
en,"California, USA",,,,mjmmtu,Thu Dec 31 01:22:41 +0000 2020,0,0,0,False,0,True,
en,New York,,,,RealSaidov,Thu Dec 31 01:03:27 +0000 2020,7,9,46,False,0,False,
en,United States,,,,aztrevor,Thu Dec 31 01:02:54 +0000 2020,0,1,0,False,0,False,
en,"San Diego, CA",,,,rom1_pellerin,Thu Dec 31 00:56:46 +0000 2020,1,2,9,False,0,False,
en,AUSTIN TX.,,,,Uyoosha,Thu Dec 31 00:47:01 +0000 2020,0,0,0,False,0,False,
en,United States,,,,_C_R_Y_P_T_O,Thu Dec 31 00:43:31 +0000 2020,0,0,0,False,0,False,
en,"New York, NY",,,,BTCstJournal,Thu Dec 31 00:31:51 +0000 2020,0,0,0,False,0,False,
en,"Austin, TX",,,,VernonW,Thu Dec 31 00:31:28 +0000 2020,0,0,0,False,0,False,
en,USA,,,,webnowcompany,Wed Dec 30 23:55:54 +0000 2020,0,0,0,False,0,False,
en,USA,,,,webnowcompany,Wed Dec 30 23:55:53 +0000 2020,0,0,0,False,0,False,
en,USA,,,,webnowcompany,Wed Dec 30 23:55:53 +0000 2020,0,0,0,False,0,False,
en,USA,,,,webnowcompany,Wed Dec 30 23:55:53 +0000 2020,0,0,0,False,0,False,
en,USA,,,,webnowcompany,Wed Dec 30 23:55:53 +0000 2020,0,0,0,False,0,False,
en,USA,,,,webnowcompany,Wed Dec 30 23:55:53 +0000 2020,0,0,0,False,0,False,
en,USA,,,,webnowcompany,Wed Dec 30 23:55:53 +0000 2020,0,0,0,False,0,False,
en,USA,,,,webnowcompany,Wed Dec 30 23:55:53 +0000 2020,0,0,0,False,0,False,
en,USA,,,,webnowcompany,Wed Dec 30 23:55:53 +0000 2020,0,0,0,False,0,False,
en,USA,,,,webnowcompany,Wed Dec 30 23:55:53 +0000 2020,0,0,0,False,0,False,
en,USA,,,,webnowcompany,Wed Dec 30 23:55:52 +0000 2020,0,0,0,False,0,False,
en,International,,,,CryptoAltum,Wed Dec 30 23:46:42 +0000 2020,0,0,1,False,0,False,
en,USA,,,,crypto_vantage,Wed Dec 30 23:45:35 +0000 2020,0,0,1,False,0,False,
en,"Texas, USA",,,,cmak19,Wed Dec 30 23:42:05 +0000 2020,0,0,0,False,0,True,
en,USA,,,,erikwill,Wed Dec 30 23:37:07 +0000 2020,9,34,28,False,0,False,
en,United States,,,,fintechnewshub,Wed Dec 30 23:33:55 +0000 2020,0,0,0,False,0,False,
en,San Diego,,,,KcKell,Wed Dec 30 23:26:47 +0000 2020,0,0,0,False,0,False,
en,United States,,,,Beaker2288,Wed Dec 30 22:51:58 +0000 2020,0,1,1,False,0,False,
en,CALIFORNIA,,,,JohnnybNetwork,Wed Dec 30 22:36:44 +0000 2020,0,0,0,False,0,False,
en,"Santa Cruz, California, USA",,,,NOWstakePOOL,Wed Dec 30 22:10:28 +0000 2020,0,1,1,False,0,True,
en,"Atlanta, GA",,,,desota,Wed Dec 30 22:05:45 +0000 2020,0,2,0,False,0,False,
en,"Atlanta, GA",,,,desota,Wed Dec 30 22:01:19 +0000 2020,0,1,0,False,0,False,
en,"Carlsbad, CA",,,,MRodrig77244461,Wed Dec 30 21:40:31 +0000 2020,0,0,0,False,0,False,
en,New York,,,,Paul95508348,Wed Dec 30 21:30:42 +0000 2020,1,19,2,False,0,False,
en,"Nashville, Tennessee",,,,ChrisGraff,Wed Dec 30 21:22:23 +0000 2020,1,3,3,False,0,False,
en,"Bayonne, NJ",,,,BlackStarPool1,Wed Dec 30 21:14:17 +0000 2020,0,1,0,False,0,False,
en,"Santa Cruz, California, USA",,,,NOWstakePOOL,Wed Dec 30 21:10:30 +0000 2020,0,0,0,False,0,False,
en,"Florida, USA",,,,SouthEastSt8kin,Wed Dec 30 21:09:40 +0000 2020,0,0,0,False,0,False,
en,"Charlotte, NC",,,,rondior,Wed Dec 30 19:31:25 +0000 2020,0,1,0,False,0,False,
en,Earth Mostly,,,,MoneyMasterGuru,Wed Dec 30 19:30:02 +0000 2020,0,0,0,False,0,False,
en,"Santa Cruz, California, USA",,,,NOWstakePOOL,Wed Dec 30 19:16:57 +0000 2020,1,2,2,False,0,False,
